BASE_YR,BASE_MM,AGFD_PDLT_NM,STRGE_QY
2020,03,매실,2203
2020,03,메론,246253
2020,03,모둠쌈,24482
2020,03,무,452696
2020,03,무화과,5665
2020,03,물미역(청과),3459
2020,03,미나리,8873
2020,03,바나나,31009
2020,03,바나나 국산,285
2020,03,밤,57728
2020,03,방울양배추,350
2020,03,배,229774
2020,03,배추,283706
2020,03,배추얼갈이,19031
2020,03,버섯,529062
2020,03,보리,2585
2020,03,복수박,25127
2020,03,복숭아,108812
2020,03,부추,31654
2020,03,브로코리,48589
2020,03,브로콜리,12232
2020,03,블루베리,8187
2020,03,비트,71187
2020,03,빨간양배추,7659
2020,03,사과,1072792
2020,03,산딸기,3852
2020,03,살구,40
2020,03,상추,63437
2020,03,새싹채소,345
2020,03,생강,15273
2020,03,석류,1730
2020,03,세러리,22
2020,03,수박,1327362
2020,03,수입과일,281519
2020,03,숙주,22453
2020,03,시금치,142545
2020,03,신선초,22
2020,03,쌈추,3390
2020,03,쑥,79650
2020,03,쑥갓,1375
2020,03,아욱,123
2020,03,애플수박,4030
2020,03,애호박,97725
2020,03,양배추,3556700
2020,03,양상추,134399
2020,03,양파,1049835
2020,03,얼갈이,1587
2020,03,연근,728
2020,03,열무,19092
2020,03,열무 얼갈이,23296
2020,03,오렌지,1730
2020,03,오이,239130
2020,03,완두콩,9261
2020,03,인삼,2982
2020,03,잎마늘,2034
2020,03,자두,40837
2020,03,자몽,1730
2020,03,적양배추,263
2020,03,쪽파,38301
2020,03,찰옥수수,12230
2020,03,참나물,2144
2020,03,참다래 국산,31962
2020,03,참외,28580
2020,03,청경채,2234
2020,03,청양고추,8864
2020,03,체리,908
2020,03,취나물,1207
2020,03,츄키니,486
2020,03,케일,22
2020,03,콜라비,2014
2020,03,콩나물,190227
2020,03,키위,3677
2020,03,토마토,445482
2020,03,토마토(방울),195268
2020,03,파세리,12141
2020,03,파인애플,34454
2020,03,파채,15007
2020,03,파프리카,27657
2020,03,포도,246530
2020,03,풋고추,34509
2020,03,풋옥수수,5799
2020,03,호박,184947
2020,03,홍갓,11148
2020,04,가지,217082
2020,04,감,75739
2020,04,감귤,111680
2020,04,감자,319901
2020,04,갓,1948
2020,04,건가지,311
2020,04,건고추,146
2020,04,건취나물,471
2020,04,고구마,453042
2020,04,고구마순,593
2020,04,고사리,2646
2020,04,고추,218874
2020,04,곶감,2625
2020,04,근대,32693
2020,04,기장,1229
2020,04,깐마늘,97967
2020,04,깐양파,39071
2020,04,깻잎,19796
2020,04,냉이,2443
2020,04,늙은호박,29207
2020,04,다발무,28800
2020,04,단감,76301
2020,04,단호박,10247
2020,04,달래,3302
2020,04,당근,295514
2020,04,대추,14262
2020,04,대파,319039
2020,04,더덕,1217
2020,04,도라지,5218
2020,04,돈나물,1557
2020,04,돌나물,1491
2020,04,두릅,5159
2020,04,따리,2252
2020,04,딸기,150834
2020,04,레몬,4551
2020,04,마,3032
2020,04,마늘,191324
2020,04,마늘 쫑,4342
2020,04,매실,2289
2020,04,머위,122
2020,04,메론,323371
2020,04,모둠쌈,22986
2020,04,무,466691
2020,04,무화과,4270
2020,04,물미역(청과),2069
2020,04,미나리,8242
2020,04,바나나,47164
2020,04,바나나 국산,618
2020,04,밤,58474
2020,04,방울,3290
2020,04,방울양배추,262
2020,04,배,189739
2020,04,배추,234730
2020,04,배추얼갈이,18980
2020,04,버섯,542090
2020,04,보리,1404
2020,04,복수박,15000
2020,04,복숭아,111638
2020,04,부추,31540
2020,04,브로코리,42394
2020,04,브로콜리,18983
2020,04,블루베리,94711
2020,04,비트,81843
2020,04,빨간양배추,7848
2020,04,사과,1343645
2020,04,산딸기,4904
2020,04,살구,198
2020,04,상추,62850
2020,04,새싹채소,347
2020,04,생강,5555
2020,04,석류,4551
2020,04,세러리,621
2020,04,수박,1098807
2020,04,수입과일,306185
2020,04,숙주,19695
2020,04,시금치,160445
2020,04,신선초,621
2020,04,쌈추,3374
2020,04,쑥,20070
2020,04,쑥갓,1399
2020,04,아욱,144
2020,04,애플수박,1637
2020,04,애호박,125282
2020,04,양배추,573134
2020,04,양상추,128920
2020,04,양파,1043573
2020,04,얼갈이,1971
2020,04,연근,2388
2020,04,열무,21304
2020,04,열무 얼갈이,24329
2020,04,오렌지,4551
2020,04,오이,339351
2020,04,완두콩,9269
2020,04,인삼,1915
2020,04,잎마늘,402
2020,04,자두,47501
2020,04,자몽,4551
2020,04,적양배추,196
2020,04,쪽파,38837
2020,04,찰옥수수,29632
2020,04,참나물,1688
2020,04,참다래 국산,19940
2020,04,참외,54163
2020,04,청경채,2075
2020,04,청양고추,11516
2020,04,체리,2390
2020,04,취나물,4542
2020,04,츄키니,1472
2020,04,케일,1066
2020,04,콜라비,961
2020,04,콩나물,257146
2020,04,키위,16856
2020,04,토마토,615934
2020,04,토마토(방울),254684
2020,04,파세리,11716
2020,04,파인애플,52404
2020,04,파채,18588
2020,04,파프리카,24844
2020,04,포도,256491
2020,04,풋고추,45243
2020,04,풋옥수수,6249
2020,04,호박,224188
2020,04,홍갓,14300
2020,05,가지,222842
2020,05,감,27318
2020,05,감귤,73887
2020,05,감자,264812
2020,05,갓,1758
2020,05,건가지,295
2020,05,건취나물,478
2020,05,고구마,493170
2020,05,고구마순,478
2020,05,고사리,2544
2020,05,고추,225881
2020,05,곶감,3866
2020,05,근대,26462
2020,05,깐마늘,97131
2020,05,깐양파,37715
2020,05,깻잎,18389
2020,05,냉이,2288
2020,05,늙은호박,52116
2020,05,단감,55337
2020,05,단호박,4158
2020,05,달래,3164
2020,05,당근,267302
2020,05,대추,21806
2020,05,대파,316883
2020,05,더덕,772
2020,05,도라지,4441
2020,05,돈나물,1205
2020,05,돌나물,1606
2020,05,두릅,4811
2020,05,딸기,115007
2020,05,레몬,3965
2020,05,마,1613
2020,05,마늘,235175
2020,05,마늘 쫑,1399
2020,05,매실,888
2020,05,메론,308136
2020,05,모둠쌈,23713
2020,05,무,436535
2020,05,무화과,9641
2020,05,물미역(청과),1768
2020,05,미나리,7085
2020,05,바나나,49693
2020,05,바나나 국산,158
2020,05,밤,41098
2020,05,방울,10793
2020,05,배,163362
2020,05,배추,229723
2020,05,배추얼갈이,22388
2020,05,버섯,483069
2020,05,복수박,38608
2020,05,복숭아,90164
2020,05,부추,29306
2020,05,브로코리,50098
2020,05,브로콜리,4289
2020,05,블루베리,311920
2020,05,비트,64629
2020,05,빨간양배추,7050
2020,05,사과,957896
2020,05,산딸기,2786
2020,05,살구,24
2020,05,상추,65498
2020,05,새싹채소,238
2020,05,생강,5254
2020,05,석류,3965
2020,05,세러리,475
2020,05,수박,2119700
2020,05,수입과일,445195
2020,05,숙주,17051
2020,05,시금치,148123
2020,05,신선초,475
2020,05,쌈추,3108
2020,05,쑥갓,4832
2020,05,아욱,140
2020,05,애플수박,1811
2020,05,애호박,150951
2020,05,양배추,345296
2020,05,양상추,117104
2020,05,양파,1147602
2020,05,얼갈이,1538
2020,05,연근,999
2020,05,열무,24488
2020,05,열무 얼갈이,25750
2020,05,오렌지,3965
2020,05,오이,349376
2020,05,옥수수,33177
2020,05,완두콩,11367
2020,05,유자,3108
2020,05,인삼,2180
