NTN_CODE,YR_INFO_CN,BASE_MM,BSIS_IVTY_QY,PDTN_QY,IMPT_QY,EPOT_QY,CSP_QY,TMED_IVTY_QY,DMTC_CSP_QY,SPLY_QY,PDLT_CODE,PDLT_NM,MDFCN_YMD,ETL_LDG_DT
108,2017/18,09,2.37,7.6,0.69,0.08,8.5,2.08,0,0,0101,½Ò,20170913,20210419165432
116,2017/18,08,1.74,3.9,0.41,0,4.65,1.39,0,0,0101,½Ò,20170913,20210419165432
221,2017/18,07,1.46,6.07,0.77,3.46,3.81,1.04,0,0,0101,½Ò,20170814,20210419165432
221,2017/18,08,1.46,5.92,0.77,3.46,3.73,0.96,0,0,0101,½Ò,20170814,20210419165432
100,2017/18,07,19.4,108,0,11,97,19.4,0,0,0101,½Ò,20170814,20210419165432
100,2017/18,08,19.3,108,0,11.5,97,18.8,0,0,0101,½Ò,20170814,20210419165432
170,2017/18,07,0.83,6.9,0,4.1,2.9,0.73,0,0,0101,½Ò,20170814,20210419165432
170,2017/18,08,0.83,6.9,0,4.1,2.9,0.73,0,0,0101,½Ò,20170814,20210419165432
206,2017/18,07,5.85,20.4,0.25,10,11.5,5,0,0,0101,½Ò,20170814,20210419165432
206,2017/18,08,6.85,20.4,0.25,10,11.5,6,0,0,0101,½Ò,20170814,20210419165432
229,2017/18,07,1.33,28.45,0.3,6,22.7,1.38,0,0,0101,½Ò,20170814,20210419165432
229,2017/18,08,1.23,28.45,0.3,6,22.6,1.38,0,0,0101,½Ò,20170814,20210419165432
029,2017/18,07,0.48,8,0.6,0.7,7.9,0.48,0,0,0101,½Ò,20170814,20210419165432
029,2017/18,08,0.56,8,0.6,0.7,7.9,0.56,0,0,0101,½Ò,20170814,20210419165432
247,2017/18,07,1.17,2.08,1.9,0.28,3.75,1.12,0,0,0101,½Ò,20170814,20210419165432
247,2017/18,08,1.17,2.08,1.9,0.28,3.75,1.12,0,0,0101,½Ò,20170814,20210419165432
097,2017/18,07,3.54,37,0.5,0.02,37.4,3.62,0,0,0101,½Ò,20170814,20210419165432
097,2017/18,08,3.54,37,0.5,0.02,37.4,3.62,0,0,0101,½Ò,20170814,20210419165432
169,2017/18,07,1.41,11.2,1.8,0,12.9,1.51,0,0,0101,½Ò,20170814,20210419165432
169,2017/18,08,1.41,11.2,1.8,0,12.9,1.51,0,0,0101,½Ò,20170814,20210419165432
046,2017/18,07,69.54,145,5,0.8,143,75.74,0,0,0101,½Ò,20170814,20210419165432
046,2017/18,08,69.54,145,5,0.9,143,75.53,0,0,0101,½Ò,20170814,20210419165432
062,2017/18,07,1.57,4,0.05,0.2,4.25,1.17,0,0,0101,½Ò,20170814,20210419165432
062,2017/18,08,1.57,4,0.05,0.1,4.25,1.27,0,0,0101,½Ò,20170814,20210419165432
108,2017/18,07,2.37,7.6,0.69,0.08,8.5,2.08,0,0,0101,½Ò,20170814,20210419165432
108,2017/18,08,2.37,7.6,0.69,0.08,8.5,2.08,0,0,0101,½Ò,20170814,20210419165432
149,2017/18,07,0.16,0.19,0.8,0,0.91,0.23,0,0,0101,½Ò,20170814,20210419165432
149,2017/18,08,0.16,0.19,0.8,0,0.91,0.23,0,0,0101,½Ò,20170814,20210419165432
116,2017/18,07,1.74,3.9,0.41,0,4.65,1.39,0,0,0101,½Ò,20170814,20210419165432
116,2017/18,08,1.74,3.9,0.41,0,4.65,1.39,0,0,0101,½Ò,20170814,20210419165432
248,2015/16,09,115.31,471.72,38.29,40.25,470.58,116.45,0,0,0101,½Ò,20170913,20210419165432
221,2015/16,09,1.55,6.13,0.77,3.4,3.58,1.48,0,0,0101,½Ò,20170913,20210419165432
100,2015/16,09,17.8,104.41,0,10.24,93.57,18.4,0,0,0101,½Ò,20170913,20210419165432
170,2015/16,09,1.21,6.8,0.01,4.1,2.8,1.12,0,0,0101,½Ò,20170913,20210419165432
206,2015/16,09,11.27,15.8,0.3,9.87,9.1,8.4,0,0,0101,½Ò,20170913,20210419165432
229,2015/16,09,1.26,27.58,0.3,5.09,22.6,1.46,0,0,0101,½Ò,20170913,20210419165432
029,2015/16,09,0.64,7.21,0.9,0.55,7.9,0.31,0,0,0101,½Ò,20170913,20210419165432
247,2015/16,09,1.15,2.05,1.8,0.27,3.55,1.18,0,0,0101,½Ò,20170913,20210419165432
097,2015/16,09,4.11,36.2,1,0,37.8,3.51,0,0,0101,½Ò,20170913,20210419165432
169,2015/16,09,2.41,11,1.6,0,12.9,2.11,0,0,0101,½Ò,20170913,20210419165432
046,2015/16,09,57.44,145.77,4.8,0.27,144,63.74,0,0,0101,½Ò,20170913,20210419165432
062,2015/16,09,0.92,4,0.1,0.2,3.9,0.92,0,0,0101,½Ò,20170913,20210419165432
